Id,Label,timeset,lat,lng,provinz,background_map_node
bckm_4729,,,55.909182,-130.015076,,true
bckm_4728,,,55.722216,-130.128876,,true
bckm_4727,,,55.282213,-129.943878,,true
bckm_4726,,,54.996386,-130.113617,,true
bckm_4725,,,55.283335,-129.817505,,true
bckm_4724,,,55.566668,-129.786957,,true
bckm_4723,,,55.467211,-129.471649,,true
bckm_4722,,,55.024164,-129.996368,,true
bckm_4721,,,54.997774,-129.622498,,true
bckm_4720,,,54.846659,-130.173889,,true
bckm_4719,,,54.605555,-129.910278,,true
bckm_4718,,,54.654993,-130.374146,,true
bckm_4717,,,54.316103,-129.959166,,true
bckm_4716,,,54.630274,-130.416655,,true
bckm_4715,,,54.364717,-130.48111,,true
bckm_4714,,,54.237215,-129.470001,,true
bckm_4713,,,54.153322,-130.046661,,true
bckm_4712,,,53.886942,-130.050293,,true
bckm_4711,,,53.37916,-129.272797,,true
bckm_4710,,,53.625826,-129.232483,,true
bckm_4709,,,54.031664,-128.600555,,true
bckm_4708,,,53.832499,-128.471375,,true
bckm_4707,,,53.619158,-128.813049,,true
bckm_4706,,,53.239717,-127.867767,,true
bckm_4705,,,53.553049,-128.972778,,true
bckm_4704,,,53.424967,-128.887985,,true
bckm_4703,,,53.283609,-128.858887,,true
bckm_4702,,,53.131937,-128.539734,,true
bckm_4701,,,52.822771,-128.441101,,true
bckm_4700,,,52.876383,-128.131653,,true
bckm_4699,,,52.465273,-128.221924,,true
bckm_4698,,,52.291384,-128.39389,,true
bckm_4697,,,52.579721,-127.879707,,true
bckm_4696,,,52.341105,-128.012512,,true
bckm_4695,,,52.291941,-127.618332,,true
bckm_4694,,,52.845545,-127.017775,,true
bckm_4693,,,52.380823,-127.186394,,true
bckm_4692,,,52.37388,-126.732498,,true
bckm_4691,,,52.303881,-126.940826,,true
bckm_4690,,,51.983606,-126.669449,,true
bckm_4689,,,52.312494,-127.171661,,true
bckm_4688,,,51.673883,-127.878052,,true
bckm_4687,,,51.456385,-127.70639,,true
bckm_4686,,,51.863611,-127.351097,,true
bckm_4685,,,51.668329,-127.43222,,true
bckm_4684,,,51.679995,-126.620003,,true
bckm_4683,,,51.61944,-127.488052,,true
bckm_4682,,,51.324717,-127.778877,,true
bckm_4681,,,51.325556,-127.133057,,true
bckm_4680,,,51.165545,-127.789993,,true
bckm_4679,,,51.194994,-126.662514,,true
bckm_4678,,,51.005556,-127.53833,,true
bckm_4677,,,50.951387,-126.17778,,true
bckm_4676,,,50.843882,-126.559723,,true
bckm_4675,,,50.855829,-126.198883,,true
bckm_4674,,,50.678659,-126.131004,,true
bckm_4673,,,50.735552,-125.73111,,true
bckm_4672,,,51.096941,-125.633904,,true
bckm_4671,,,50.750002,-125.622498,,true
bckm_4670,,,50.631662,-126.274719,,true
bckm_4669,,,50.427774,-125.705841,,true
bckm_4668,,,50.714159,-125.443604,,true
bckm_4667,,,50.492052,-125.548111,,true
bckm_4666,,,50.432772,-125.119453,,true
bckm_4665,,,50.920832,-124.805832,,true
bckm_4664,,,50.322496,-125.078339,,true
bckm_4663,,,50.502497,-124.347778,,true
bckm_4662,,,50.327494,-124.715012,,true
bckm_4661,,,50.238886,-124.601387,,true
bckm_4660,,,49.995546,-124.703339,,true
bckm_4659,,,50.061937,-124.829727,,true
bckm_4658,,,49.763613,-124.41362,,true
bckm_4657,,,49.82583,-123.926392,,true
bckm_4656,,,50.152216,-123.821404,,true
bckm_4655,,,49.768328,-123.934998,,true
bckm_4654,,,49.689714,-123.533623,,true
bckm_4653,,,49.633883,-124.068069,,true
bckm_4652,,,49.38138,-123.535553,,true
bckm_4651,,,49.509722,-123.492493,,true
bckm_4650,,,49.69916,-123.159729,,true
bckm_4649,,,49.338884,-123.236389,,true
bckm_4648,,,49.436106,-122.852783,,true
bckm_4647,,,49.273607,-123.248894,,true
bckm_4646,,,48.999437,-123.09375,,true
bckm_4645,,,48.999437,-123.034317,,true
bckm_4644,,,48.999437,-122.7603,,true
bckm_4643,,,48.999437,-95.154175,,true
bckm_4642,,,49.359163,-95.078064,,true
bckm_4641,,,48.724436,-94.605835,,true
bckm_4640,,,48.623323,-92.953064,,true
bckm_4639,,,48.041109,-91.418335,,true
bckm_4638,,,48.237497,-90.868607,,true
bckm_4637,,,47.979715,-89.356659,,true
bckm_4636,,,48.312212,-88.368057,,true
bckm_4635,,,46.902216,-84.856949,,true
bckm_4634,,,46.466387,-84.565002,,true
bckm_4633,,,46.531939,-84.126389,,true
bckm_4632,,,46.071665,-83.958893,,true
bckm_4631,,,46.105272,-83.577499,,true
bckm_4630,,,45.827219,-83.597778,,true
bckm_4629,,,45.355829,-82.54306,,true
bckm_4628,,,43.585268,-82.13028,,true
bckm_4627,,,42.618883,-82.521393,,true
bckm_4626,,,42.046106,-83.16861,,true
bckm_4625,,,41.683878,-82.696655,,true
bckm_4624,,,42.819994,-78.986938,,true
bckm_4623,,,43.465548,-79.184723,,true
bckm_4622,,,43.629435,-78.724716,,true
bckm_4621,,,43.633608,-76.801941,,true
bckm_4620,,,44.986658,-74.990829,,true
bckm_4619,,,45.238604,-70.878601,,true
bckm_4618,,,47.471376,-69.232498,,true
bckm_4617,,,47.069994,-67.794998,,true
bckm_4616,,,45.701105,-67.799164,,true
bckm_4615,,,45.183039,-67.206543,,true
bckm_4614,,,45.084993,-66.42778,,true
bckm_4613,,,45.461664,-66.002502,,true
bckm_4612,,,45.205553,-65.90361,,true
bckm_4611,,,45.607218,-64.778336,,true
bckm_4610,,,46.090548,-64.747498,,true
bckm_4609,,,45.799997,-64.275558,,true
bckm_4608,,,45.326944,-64.93721,,true
bckm_4607,,,45.360826,-63.360832,,true
bckm_4606,,,44.978327,-64.156387,,true
bckm_4605,,,45.335268,-64.489166,,true
bckm_4604,,,44.423326,-66.191101,,true
bckm_4603,,,44.578333,-65.844452,,true
bckm_4602,,,43.858606,-66.166946,,true
bckm_4601,,,43.464441,-65.481384,,true
bckm_4600,,,44.576387,-64.200836,,true
bckm_4599,,,44.435823,-63.631111,,true
bckm_4598,,,44.714998,-63.658333,,true
bckm_4597,,,45.313051,-60.964722,,true
bckm_4596,,,45.346941,-61.46389,,true
bckm_4595,,,45.510279,-61.260002,,true
bckm_4594,,,45.885553,-61.917503,,true
bckm_4593,,,45.612497,-62.461945,,true
bckm_4592,,,46.240274,-64.504181,,true
bckm_4591,,,47.079996,-64.798615,,true
bckm_4590,,,47.086657,-65.369995,,true
bckm_4589,,,47.806383,-64.797226,,true
bckm_4588,,,47.620829,-65.634735,,true
bckm_4587,,,48.073328,-66.356659,,true
bckm_4586,,,47.99222,-66.842499,,true
bckm_4585,,,48.205828,-65.904175,,true
bckm_4584,,,48.005556,-65.305832,,true
bckm_4583,,,48.488047,-64.246384,,true
bckm_4582,,,48.878328,-64.548889,,true
bckm_4581,,,48.898333,-64.221664,,true
bckm_4580,,,49.22027,-64.996948,,true
bckm_4579,,,49.186937,-66.306107,,true
bckm_4578,,,48.63666,-68.211121,,true
bckm_4577,,,46.74222,-71.299164,,true
bckm_4576,,,48.767496,-69.060822,,true
bckm_4575,,,49.327219,-67.375,,true
bckm_4574,,,50.261942,-66.469727,,true
bckm_4573,,,50.24888,-60.005005,,true
bckm_4572,,,51.275553,-58.628052,,true
bckm_4571,,,51.424715,-56.949722,,true
bckm_4570,,,52.082216,-55.701668,,true
bckm_4569,,,52.439989,-56.196945,,true
bckm_4568,,,52.439714,-55.648613,,true
bckm_4567,,,52.594149,-56.496872,,true
bckm_4566,,,52.614443,-55.757507,,true
bckm_4565,,,53.029436,-56.166946,,true
bckm_4564,,,53.340548,-55.808052,,true
bckm_4563,,,53.67277,-56.680283,,true
bckm_4562,,,53.782274,-56.464691,,true
bckm_4561,,,53.440271,-57.336945,,true
bckm_4560,,,53.591936,-57.549995,,true
bckm_4559,,,53.823053,-57.076393,,true
bckm_4558,,,54.150545,-57.384171,,true
bckm_4557,,,54.23694,-58.17778,,true
bckm_4556,,,54.139719,-58.418335,,true
bckm_4555,,,54.071665,-57.786392,,true
bckm_4554,,,53.269442,-60.418335,,true
bckm_4553,,,53.500551,-60.103615,,true
bckm_4552,,,53.792772,-60.856949,,true
bckm_4551,,,53.52833,-60.133888,,true
bckm_4550,,,54.228045,-58.371941,,true
bckm_4549,,,54.04944,-59.575562,,true
bckm_4548,,,54.579439,-57.347496,,true
bckm_4547,,,54.844713,-58.904167,,true
bckm_4546,,,55.156656,-59.023613,,true
bckm_4545,,,54.976656,-59.388611,,true
bckm_4544,,,55.23694,-59.161385,,true
bckm_4543,,,54.746386,-59.938606,,true
bckm_4542,,,55.135828,-59.42778,,true
bckm_4541,,,55.110277,-59.963615,,true
bckm_4540,,,55.329721,-59.779167,,true
bckm_4539,,,54.994997,-60.683327,,true
bckm_4538,,,55.431383,-60.195549,,true
bckm_4537,,,55.34749,-60.478333,,true
bckm_4536,,,55.781664,-60.328888,,true
bckm_4535,,,55.589434,-60.66806,,true
bckm_4534,,,55.814714,-60.601944,,true
bckm_4533,,,55.732767,-60.87944,,true
bckm_4532,,,55.829439,-60.729721,,true
bckm_4531,,,55.845545,-61.104446,,true
bckm_4530,,,55.884165,-61.201668,,true
bckm_4529,,,55.906939,-61.076668,,true
bckm_4528,,,55.966105,-61.117775,,true
bckm_4527,,,56.006945,-61.503616,,true
bckm_4526,,,56.042772,-61.237503,,true
bckm_4525,,,56.05694,-61.452225,,true
bckm_4524,,,56.222216,-61.350838,,true
bckm_4523,,,56.235826,-62.011673,,true
bckm_4522,,,56.270273,-61.661385,,true
bckm_4521,,,56.44916,-62.143059,,true
bckm_4520,,,56.5375,-61.658333,,true
bckm_4519,,,56.792772,-62.573891,,true
bckm_4518,,,56.619989,-61.672501,,true
bckm_4517,,,56.795275,-61.906387,,true
bckm_4516,,,57.087496,-61.358337,,true
bckm_4515,,,57.501108,-62.54528,,true
bckm_4514,,,57.62694,-61.884445,,true
bckm_4513,,,57.80694,-62.125275,,true
bckm_4512,,,57.835825,-62.138054,,true
bckm_4511,,,57.897776,-62.059723,,true
bckm_4510,,,57.96805,-62.127495,,true
bckm_4509,,,57.929995,-62.672775,,true
bckm_4508,,,58.031107,-62.306946,,true
bckm_4507,,,58.175272,-62.452782,,true
bckm_4506,,,57.97999,-63.340836,,true
bckm_4505,,,58.214441,-62.584442,,true
bckm_4504,,,58.252222,-62.828056,,true
bckm_4503,,,58.482492,-62.557503,,true
bckm_4502,,,58.300829,-63.589439,,true
bckm_4501,,,58.690546,-62.847496,,true
bckm_4500,,,58.855829,-63.325005,,true
bckm_4499,,,59.058329,-63.134171,,true
bckm_4498,,,59.015276,-64.043884,,true
bckm_4497,,,59.204996,-63.356392,,true
bckm_4496,,,59.382494,-64.06221,,true
bckm_4495,,,59.513887,-63.722496,,true
bckm_4494,,,59.517496,-64.116943,,true
bckm_4493,,,59.625269,-64.05777,,true
bckm_4492,,,59.779161,-64.266663,,true
bckm_4491,,,60.024996,-64.166946,,true
bckm_4490,,,59.986383,-64.827499,,true
bckm_4489,,,60.278605,-64.466919,,true
bckm_4488,,,60.361109,-64.854446,,true
bckm_4487,,,59.885828,-65.231949,,true
bckm_4486,,,59.762774,-64.983887,,true
bckm_4485,,,59.716936,-65.527786,,true
bckm_4484,,,59.376383,-64.983322,,true
bckm_4483,,,59.486109,-65.561386,,true
bckm_4482,,,59.277216,-65.357224,,true
bckm_4481,,,59.153048,-65.718063,,true
bckm_4480,,,59.041384,-65.317505,,true
bckm_4479,,,58.903605,-65.988602,,true
bckm_4478,,,58.86194,-65.789444,,true
bckm_4477,,,58.773607,-66.103882,,true
bckm_4476,,,58.627214,-65.87999,,true
bckm_4475,,,58.320276,-66.058884,,true
bckm_4474,,,58.60972,-65.935822,,true
bckm_4473,,,58.85055,-66.388611,,true
bckm_4472,,,57.923052,-67.713898,,true
bckm_4471,,,58.458887,-67.723892,,true
bckm_4470,,,58.416101,-67.813324,,true
bckm_4469,,,58.296663,-67.801392,,true
bckm_4468,,,58.07361,-68.128326,,true
bckm_4467,,,58.320276,-67.857498,,true
bckm_4466,,,58.49666,-67.89389,,true
bckm_4465,,,58.576387,-68.003342,,true
bckm_4464,,,58.039721,-68.404175,,true
bckm_4463,,,57.765253,-69.369049,,true
bckm_4462,,,58.127489,-68.344162,,true
bckm_4461,,,58.781939,-68.36055,,true
bckm_4460,,,58.888048,-69.279175,,true
bckm_4459,,,58.588602,-69.818893,,true
bckm_4458,,,58.777491,-70.15361,,true
bckm_4457,,,58.823885,-69.815826,,true
bckm_4456,,,59.053049,-69.869156,,true
bckm_4455,,,58.808046,-69.547501,,true
bckm_4454,,,59.182215,-69.530563,,true
bckm_4453,,,59.233881,-69.234726,,true
bckm_4452,,,59.320276,-69.758347,,true
bckm_4451,,,59.833055,-69.600555,,true
bckm_4450,,,60.063051,-70.945831,,true
bckm_4449,,,60.067499,-69.62471,,true
bckm_4448,,,60.525553,-69.826111,,true
bckm_4447,,,60.804438,-69.371933,,true
bckm_4446,,,61.073328,-69.51973,,true
bckm_4445,,,60.807772,-69.92749,,true
bckm_4444,,,61.084719,-70.146118,,true
bckm_4443,,,61.137774,-71.389999,,true
bckm_4442,,,61.428049,-71.887512,,true
bckm_4441,,,61.608606,-71.575012,,true
bckm_4440,,,61.567217,-72.303329,,true
bckm_4439,,,61.675272,-72.010056,,true
bckm_4438,,,62.47999,-73.678879,,true
bckm_4437,,,62.206385,-74.759735,,true
bckm_4436,,,62.103052,-74.571671,,true
bckm_4435,,,62.561663,-77.508347,,true
bckm_4434,,,62.27833,-78.155838,,true
bckm_4433,,,61.714716,-77.992493,,true
bckm_4432,,,61.541666,-77.474716,,true
bckm_4431,,,60.790834,-78.192764,,true
bckm_4430,,,60.836382,-77.511673,,true
bckm_4429,,,60.639437,-77.833893,,true
bckm_4428,,,60.544161,-77.41333,,true
bckm_4427,,,60.408136,-77.747757,,true
bckm_4426,,,60.064157,-77.592224,,true
bckm_4425,,,60.159159,-76.758896,,true
bckm_4424,,,59.914713,-77.42749,,true
bckm_4423,,,59.564997,-77.313889,,true
bckm_4422,,,59.709719,-77.773895,,true
bckm_4421,,,59.40555,-77.910278,,true
bckm_4420,,,59.399996,-77.677216,,true
bckm_4419,,,58.961382,-78.570557,,true
bckm_4418,,,58.635271,-78.574722,,true
bckm_4417,,,57.719156,-76.861938,,true
bckm_4416,,,57.105829,-76.529724,,true
bckm_4415,,,56.297777,-76.53833,,true
bckm_4414,,,55.654161,-77.137222,,true
bckm_4413,,,55.300829,-77.748611,,true
bckm_4412,,,54.652216,-79.76445,,true
bckm_4411,,,54.183329,-79.048889,,true
bckm_4410,,,53.502497,-79.110275,,true
bckm_4409,,,52.46055,-78.506958,,true
bckm_4408,,,51.770273,-79.035553,,true
bckm_4407,,,51.165545,-78.853333,,true
bckm_4406,,,51.662767,-79.322235,,true
bckm_4405,,,51.184435,-79.752228,,true
bckm_4404,,,50.723879,-79.33223,,true
bckm_4403,,,51.296389,-80.12027,,true
bckm_4402,,,51.02833,-81.015015,,true
bckm_4401,,,51.464159,-80.436386,,true
bckm_4400,,,52.011385,-80.994446,,true
bckm_4399,,,52.187494,-81.883621,,true
bckm_4398,,,52.441103,-81.549988,,true
bckm_4397,,,53.018602,-82.296661,,true
bckm_4396,,,55.148882,-82.30777,,true
bckm_4395,,,55.296663,-85.001953,,true
bckm_4394,,,54.990549,-85.423889,,true
bckm_4393,,,55.33777,-85.121933,,true
bckm_4392,,,55.631662,-85.714447,,true
bckm_4391,,,57.255831,-90.815277,,true
bckm_4390,,,56.907495,-92.876099,,true
bckm_4389,,,57.337496,-92.418884,,true
bckm_4388,,,58.737772,-93.152222,,true
bckm_4387,,,58.763613,-94.14389,,true
bckm_4386,,,58.218882,-94.363327,,true
bckm_4385,,,58.784998,-94.228882,,true
bckm_4384,,,59.092218,-94.789719,,true
bckm_4383,,,59.636385,-94.819168,,true
bckm_4382,,,60.522493,-94.673325,,true
bckm_4381,,,61.456102,-93.984726,,true
bckm_4380,,,61.777216,-93.237778,,true
bckm_4379,,,61.939989,-93.616104,,true
bckm_4378,,,62.219439,-92.764725,,true
bckm_4377,,,62.334993,-93.122223,,true
bckm_4376,,,62.146616,-92.470015,,true
bckm_4375,,,62.46583,-92.710007,,true
bckm_4374,,,62.599161,-91.88501,,true
bckm_4373,,,62.831385,-92.420837,,true
bckm_4372,,,63.059435,-90.627487,,true
bckm_4371,,,63.360826,-90.741943,,true
bckm_4370,,,63.713327,-91.763336,,true
bckm_4369,,,63.527216,-92.480835,,true
bckm_4368,,,63.696939,-92.101669,,true
bckm_4367,,,63.811937,-92.482773,,true
bckm_4366,,,63.612215,-90.205275,,true
bckm_4365,,,63.811937,-89.964172,,true
bckm_4364,,,64.003603,-90.279175,,true
bckm_4363,,,63.937212,-89.813614,,true
bckm_4362,,,64.128588,-90.124161,,true
bckm_4361,,,64.13611,-88.113327,,true
bckm_4360,,,65.138048,-86.933319,,true
bckm_4359,,,65.951097,-91.429169,,true
bckm_4358,,,65.939425,-89.671661,,true
bckm_4357,,,65.321383,-87.395844,,true
bckm_4356,,,66.168322,-85.897232,,true
bckm_4355,,,66.526094,-86.775284,,true
bckm_4354,,,66.190813,-83.693054,,true
bckm_4353,,,66.681368,-84.144455,,true
bckm_4352,,,66.710817,-84.44249,,true
bckm_4351,,,66.787767,-84.466949,,true
bckm_4350,,,66.839983,-84.690552,,true
bckm_4349,,,66.827776,-84.505844,,true
bckm_4348,,,66.897493,-84.746384,,true
bckm_4347,,,66.935808,-84.602219,,true
bckm_4346,,,66.878313,-85.228333,,true
bckm_4345,,,66.978045,-84.639725,,true
bckm_4344,,,67.060808,-84.915009,,true
bckm_4343,,,66.971376,-84.370834,,true
bckm_4342,,,66.818331,-84.436386,,true
bckm_4341,,,66.701937,-84.140289,,true
bckm_4340,,,66.88109,-83.916397,,true
bckm_4339,,,66.582216,-83.977493,,true
bckm_4338,,,66.34749,-83.402222,,true
bckm_4337,,,66.999712,-81.503067,,true
bckm_4336,,,67.474993,-81.243057,,true
bckm_4335,,,68.49721,-82.638901,,true
bckm_4334,,,68.633043,-81.267502,,true
bckm_4333,,,68.873873,-82.05722,,true
bckm_4332,,,69.182482,-81.332504,,true
bckm_4331,,,69.538591,-83.228058,,true
bckm_4330,,,69.638048,-82.263336,,true
bckm_4329,,,69.7036,-83.705002,,true
bckm_4328,,,69.857485,-84.375824,,true
bckm_4327,,,69.769991,-85.064438,,true
bckm_4326,,,69.856096,-85.571945,,true
bckm_4325,,,69.779161,-85.331955,,true
bckm_4324,,,69.271929,-85.473328,,true
bckm_4323,,,69.017488,-84.528336,,true
bckm_4322,,,68.867205,-85.194443,,true
bckm_4321,,,68.733599,-84.787216,,true
bckm_4320,,,68.726931,-85.66362,,true
bckm_4319,,,67.352205,-86.523621,,true
bckm_4318,,,67.1122,-87.510284,,true
bckm_4317,,,67.262209,-87.357773,,true
bckm_4316,,,67.959154,-88.370834,,true
bckm_4315,,,68.287493,-88.392227,,true
bckm_4314,,,68.334429,-87.792221,,true
bckm_4313,,,68.823046,-88.052216,,true
bckm_4312,,,69.25139,-89.306656,,true
bckm_4311,,,68.238878,-90.271393,,true
bckm_4310,,,68.446093,-90.606659,,true
bckm_4309,,,68.874422,-90.436386,,true
bckm_4308,,,69.35277,-91.44722,,true
bckm_4307,,,69.450274,-90.30777,,true
bckm_4306,,,69.66971,-92.920273,,true
bckm_4305,,,70.020266,-91.939713,,true
bckm_4304,,,70.071108,-92.450287,,true
bckm_4303,,,70.208879,-92.268341,,true
bckm_4302,,,70.167208,-91.513626,,true
bckm_4301,,,70.85277,-93.027496,,true
bckm_4300,,,71.340822,-92.973892,,true
bckm_4299,,,71.761385,-93.71167,,true
bckm_4298,,,71.944979,-95.217499,,true
bckm_4297,,,71.863314,-94.606659,,true
bckm_4296,,,71.553591,-95.943054,,true
bckm_4295,,,71.290819,-95.535278,,true
bckm_4294,,,71.277208,-96.503891,,true
bckm_4293,,,71.255503,-96.462204,,true
bckm_4292,,,71.16527,-96.467224,,true
bckm_4291,,,71.126375,-96.560547,,true
bckm_4290,,,71.089983,-96.369995,,true
bckm_4289,,,70.794436,-96.611938,,true
bckm_4288,,,70.536654,-95.789444,,true
bckm_4287,,,70.562197,-96.232773,,true
bckm_4286,,,70.13109,-96.531677,,true
bckm_4285,,,69.778048,-95.960831,,true
bckm_4284,,,69.371645,-93.362778,,true
bckm_4283,,,69.304979,-94.303329,,true
bckm_4282,,,69.12665,-94.072784,,true
bckm_4281,,,68.761385,-94.625,,true
bckm_4280,,,68.972216,-93.666946,,true
bckm_4279,,,68.586382,-93.553329,,true
bckm_4278,,,68.054979,-94.722229,,true
bckm_4277,,,68.060534,-95.472778,,true
bckm_4276,,,67.72777,-95.709166,,true
bckm_4275,,,67.287203,-95.16333,,true
bckm_4274,,,66.968325,-95.22084,,true
bckm_4273,,,66.946642,-95.902496,,true
bckm_4272,,,66.675539,-95.629715,,true
bckm_4271,,,67.062197,-96.460556,,true
bckm_4270,,,66.946642,-95.902496,,true
bckm_4269,,,67.027208,-95.326111,,true
bckm_4268,,,67.162767,-95.833328,,true
bckm_4267,,,67.37665,-95.565826,,true
bckm_4266,,,67.21332,-96.114441,,true
bckm_4265,,,67.464708,-96.097229,,true
bckm_4264,,,67.478045,-96.464722,,true
bckm_4263,,,68.254717,-95.980286,,true
bckm_4262,,,68.008608,-96.708344,,true
bckm_4261,,,68.311373,-96.404175,,true
bckm_4260,,,68.37221,-98.714447,,true
bckm_4259,,,68.171373,-98.326111,,true
bckm_4258,,,68.149431,-98.587509,,true
bckm_4257,,,67.830278,-98.078613,,true
bckm_4256,,,67.941927,-98.029999,,true
bckm_4255,,,68.018602,-97.68306,,true
bckm_4254,,,67.792482,-97.119156,,true
bckm_4253,,,67.599154,-97.509735,,true
bckm_4252,,,67.7661,-98.094452,,true
bckm_4251,,,68.074709,-98.615555,,true
bckm_4250,,,67.796099,-98.354446,,true
bckm_4249,,,67.725267,-102.251106,,true
bckm_4248,,,68.166658,-103.421661,,true
bckm_4247,,,68.031939,-104.5,,true
bckm_4246,,,68.138597,-104.670273,,true
bckm_4245,,,68.241365,-104.609734,,true
bckm_4244,,,68.412767,-105.541107,,true
bckm_4243,,,68.48665,-105.380829,,true
bckm_4242,,,68.729433,-105.486938,,true
bckm_4241,,,68.940813,-106.229172,,true
bckm_4240,,,68.611376,-108.314163,,true
bckm_4239,,,68.266665,-108.819168,,true
bckm_4238,,,68.16527,-107.603058,,true
bckm_4237,,,68.268877,-107.885277,,true
bckm_4236,,,68.414431,-106.80278,,true
bckm_4235,,,68.291368,-106.543327,,true
bckm_4234,,,68.511934,-106.543877,,true
bckm_4233,,,68.633883,-105.644997,,true
bckm_4232,,,68.41527,-105.739723,,true
bckm_4231,,,68.335817,-106.465012,,true
bckm_4230,,,68.153048,-106.431953,,true
bckm_4229,,,68.081667,-107.890556,,true
bckm_4228,,,67.940538,-107.651108,,true
bckm_4227,,,67.707491,-108.006958,,true
bckm_4226,,,66.820543,-107.083618,,true
bckm_4225,,,66.922762,-107.746658,,true
bckm_4224,,,66.349993,-107.248047,,true
bckm_4223,,,67.149996,-108.622772,,true
bckm_4222,,,67.048326,-107.880547,,true
bckm_4221,,,67.293047,-108.015289,,true
bckm_4220,,,67.444979,-108.366943,,true
bckm_4219,,,67.349428,-108.484161,,true
bckm_4218,,,67.628313,-108.655273,,true
bckm_4217,,,67.349428,-108.825012,,true
bckm_4216,,,67.714159,-109.065826,,true
bckm_4215,,,68.006945,-110.083893,,true
bckm_4214,,,67.765001,-111.005835,,true
bckm_4213,,,67.679155,-112.395844,,true
bckm_4212,,,67.796648,-115.103607,,true
bckm_4211,,,67.921648,-115.542503,,true
bckm_4210,,,68.241365,-114.023331,,true
bckm_4209,,,68.47748,-114.070557,,true
bckm_4208,,,68.971651,-115.593063,,true
bckm_4207,,,68.885546,-117.153877,,true
bckm_4206,,,69.793596,-121.683884,,true
bckm_4205,,,69.833605,-122.959166,,true
bckm_4204,,,69.383883,-123.46611,,true
bckm_4203,,,69.367205,-124.446663,,true
bckm_4202,,,69.701387,-124.040833,,true
bckm_4201,,,69.725817,-124.500557,,true
bckm_4200,,,70.151094,-124.436111,,true
bckm_4199,,,70.004503,-125.197487,,true
bckm_4198,,,70.008883,-124.795273,,true
bckm_4197,,,69.808245,-125.276398,,true
bckm_4196,,,69.714998,-124.821953,,true
bckm_4195,,,69.690264,-125.365547,,true
bckm_4194,,,69.485796,-125.118057,,true
bckm_4193,,,69.418596,-125.622498,,true
bckm_4192,,,69.449709,-125.089447,,true
bckm_4191,,,69.312181,-125.426392,,true
bckm_4190,,,70.590548,-127.996658,,true
bckm_4189,,,70.391939,-128.196655,,true
bckm_4188,,,70.221651,-127.515007,,true
bckm_4187,,,69.680819,-128.925018,,true
bckm_4186,,,69.824709,-129.169464,,true
bckm_4185,,,69.971926,-128.900848,,true
bckm_4184,,,69.686373,-130.366089,,true
bckm_4183,,,69.134432,-130.937225,,true
bckm_4182,,,69.543322,-130.952789,,true
bckm_4181,,,69.321657,-131.108887,,true
