Id,Label,timeset,lat,lng,provinz,background_map_node
"Vespasian,Vespasian,""<[69.0, 81.0]>"",41.9028,12.4964,Roma,"
"Vespasian, Titus, Domitian,""Vespasian, Titus, Domitian"",""<[74.0, 74.0]>"",41.9028,12.4964,Roma,"
"Vespasian, Titus, Domitian, Nerva, Traian,""Vespasian, Titus, Domitian, Nerva, Traian"",""<[71.0, 100.0]>"",41.9028,12.4964,Roma,"
"Victorinus,Victorinus,""<[269.0, 271.0]>"",41.9028,12.4964,Roma,"
bckm_4791,,,72.348604,-79.508057,,true
bckm_4790,,,72.365541,-78.735001,,true
bckm_4789,,,72.409716,-79.075012,,true
bckm_4788,,,72.334993,-78.950287,,true
bckm_4787,,,72.365541,-78.735001,,true
bckm_4786,,,72.294146,-85.847229,,true
bckm_4785,,,72.289705,-86.110001,,true
bckm_4784,,,72.21805,-85.889175,,true
bckm_4783,,,72.294146,-85.847229,,true
bckm_4782,,,71.981661,-108.138901,,true
bckm_4781,,,72.030275,-108.064163,,true
bckm_4780,,,72.050539,-108.199722,,true
bckm_4779,,,71.981661,-108.138901,,true
bckm_4778,,,68.763887,-84.808044,,true
bckm_4777,,,68.793596,-84.939163,,true
bckm_4776,,,68.810808,-84.855835,,true
bckm_4775,,,68.763887,-84.808044,,true
bckm_4774,,,63.559717,-91.329178,,true
bckm_4773,,,63.551935,-91.436386,,true
bckm_4772,,,63.606661,-91.540558,,true
bckm_4771,,,63.559717,-91.329178,,true
bckm_4770,,,58.235552,-77.678329,,true
bckm_4769,,,58.324167,-77.950836,,true
bckm_4768,,,58.305269,-77.807495,,true
bckm_4767,,,58.235552,-77.678329,,true
bckm_4766,,,46.85055,-71.111115,,true
bckm_4765,,,47.015276,-70.809158,,true
bckm_4764,,,46.913607,-70.904175,,true
bckm_4763,,,46.85055,-71.111115,,true
bckm_4762,,,48.380548,-70.783066,,true
bckm_4761,,,48.445269,-71.048615,,true
bckm_4760,,,48.166384,-69.828339,,true
bckm_4759,,,48.380548,-70.783066,,true
bckm_4758,,,63.839434,-93.51973,,true
bckm_4757,,,64.189699,-93.779724,,true
bckm_4756,,,63.816385,-92.507507,,true
bckm_4755,,,63.839434,-93.51973,,true
bckm_4754,,,65.385546,-89.005569,,true
bckm_4753,,,65.405825,-89.099991,,true
bckm_4752,,,65.407213,-89.031952,,true
bckm_4751,,,65.385546,-89.005569,,true
bckm_4750,,,68.752214,-134.495544,,true
bckm_4749,,,68.92943,-134.845551,,true
bckm_4748,,,68.878313,-134.977478,,true
bckm_4747,,,68.90027,-135.186951,,true
bckm_4746,,,68.926928,-135.241669,,true
bckm_4745,,,68.88611,-135.623596,,true
bckm_4744,,,68.834993,-135.338043,,true
bckm_4743,,,68.832491,-135.506134,,true
bckm_4742,,,68.663881,-135.146393,,true
bckm_4741,,,68.679979,-135.406952,,true
bckm_4740,,,69.247484,-138.60498,,true
bckm_4739,,,69.51082,-139.143066,,true
bckm_4738,,,69.642366,-141.002991,,true
bckm_4737,,,60.307215,-140.995544,,true
bckm_4736,,,60.352221,-139.068054,,true
bckm_4735,,,60.088884,-139.188904,,true
bckm_4734,,,59.238604,-137.59082,,true
bckm_4733,,,58.907213,-137.478058,,true
bckm_4732,,,59.801935,-135.473602,,true
bckm_4731,,,58.459162,-133.429993,,true
bckm_4730,,,56.596941,-131.824158,,true
